Learning Rate,Epochs,Optimizer,Neurons,Activation function,Validation Accuracy,Validation F1,Validation Precision,Validation Recall,Validation Loss,Training Accuracy,Training F1,Training Precision,Training Recall,Training Loss
0.05,50,sgd,"[8, 8, 4]",relu,0.5087719298245614,0.25107638844707975,0.2529040404040404,0.2733915414087828,1.0461631019358004,0.55125,0.27974375504552257,0.2862447452649214,0.31635642052308716,0.9517860842368552
0.05,50,gd,"[8, 8, 4]",relu,0.47368421052631576,0.22996625192176837,0.2409837047687515,0.22674182139699384,1.140514895003585,0.51,0.25723798496127825,0.26356811981013645,0.25537824148935256,1.1227666490342123
0.05,50,mini-batch,"[8, 8, 4]",relu,0.6228070175438597,0.26307814708646243,0.3017908017908018,0.2653566165635131,0.9812425783093655,0.61875,0.29413543631134764,0.31481775125706773,0.2905918739252073,0.9280135879080126
0.05,100,sgd,"[8, 8, 4]",relu,0.5087719298245614,0.25107638844707975,0.2529040404040404,0.2733915414087828,1.0461631019358004,0.55125,0.27974375504552257,0.2862447452649214,0.31635642052308716,0.9517860842368552
0.05,100,gd,"[8, 8, 4]",relu,0.5394736842105263,0.24235107177117096,0.25668309792397387,0.24321102269378134,1.0562027272520218,0.55625,0.2786784784345644,0.27853652190686384,0.28449656921879146,1.0412013239849263
0.05,100,mini-batch,"[8, 8, 4]",relu,0.6228070175438597,0.26307814708646243,0.3017908017908018,0.2653566165635131,0.9812425783093655,0.61875,0.29413543631134764,0.31481775125706773,0.2905918739252073,0.9280135879080126
0.05,50,sgd,"[16, 8, 16]",relu,0.5657894736842105,0.20503296569744478,0.19012345679012346,0.2248931623931624,1.0999142982631702,0.5975,0.22874257082608843,0.2667442433258405,0.24572916934028044,0.9895536365890982
0.05,50,gd,"[16, 8, 16]",relu,0.5175438596491229,0.21750137069407405,0.21733091787439615,0.22219790745652812,1.1021692970914523,0.5425,0.24695538632054492,0.265587665863909,0.24662803829470495,1.0472343890255649
0.05,50,mini-batch,"[16, 8, 16]",relu,0.6140350877192983,0.27670940170940167,0.28256242668007375,0.2789633068081344,0.9638346602660011,0.65125,0.31925723506721,0.3210525330157232,0.3216966966966967,0.8553768458082591
0.05,100,sgd,"[16, 8, 16]",relu,0.5657894736842105,0.20503296569744478,0.19012345679012346,0.2248931623931624,1.0999142982631702,0.5975,0.22874257082608843,0.2667442433258405,0.24572916934028044,0.9895536365890982
0.05,100,gd,"[16, 8, 16]",relu,0.5745614035087719,0.2541966580428119,0.25438091098689686,0.2585366931918656,1.0468895623351067,0.5725,0.270755824635135,0.2771809993781469,0.2708322638878195,0.9836549096083037
0.05,100,mini-batch,"[16, 8, 16]",relu,0.6140350877192983,0.27670940170940167,0.28256242668007375,0.2789633068081344,0.9638346602660011,0.65125,0.31925723506721,0.3210525330157232,0.3216966966966967,0.8553768458082591
0.01,50,sgd,"[8, 10]",tanh,0.6096491228070176,0.2786716355239149,0.286581663630844,0.27892646625405243,0.9911238054513027,0.66875,0.3526338377863992,0.4968530489118724,0.3430332041443153,0.8318131333652602
0.01,50,gd,"[8, 10]",tanh,0.43859649122807015,0.11037527593818985,0.08417508417508418,0.16025641025641027,1.6818145267847622,0.38625,0.11559204473069573,0.08301274275349761,0.23278727445394112,1.6750095844789052
0.01,50,mini-batch,"[8, 10]",tanh,0.631578947368421,0.2705896254283351,0.27621878285595103,0.27362584733274387,1.0276000262254146,0.595,0.29050502856476745,0.2876349826368572,0.2942515164737387,0.9536660361951615
0.01,100,sgd,"[8, 10]",tanh,0.6096491228070176,0.2786716355239149,0.286581663630844,0.27892646625405243,0.9911238054513027,0.66875,0.3526338377863992,0.4968530489118724,0.3430332041443153,0.8318131333652602
0.01,100,gd,"[8, 10]",tanh,0.49122807017543857,0.14361436143614362,0.21126465661641544,0.1823054818744474,1.4272383570375038,0.41625,0.134925867366543,0.1592721703248019,0.20789486067263843,1.377874944371153
0.01,100,mini-batch,"[8, 10]",tanh,0.5964912280701754,0.25903707679883164,0.26101960784313727,0.2627379899793693,0.9946502038213482,0.61875,0.3242684325131134,0.37938034188034186,0.3218972177305511,0.9094273031201664
0.01,50,sgd,"[16, 8]",tanh,0.618421052631579,0.28976243685546016,0.3021102497846684,0.29314544650751545,0.9932757350299651,0.6875,0.33734053610883447,0.3481028775146422,0.33876665126665123,0.7738871740197498
0.01,50,gd,"[16, 8]",tanh,0.44298245614035087,0.10295616717635066,0.07548579970104634,0.16185897435897437,1.6757810706353633,0.4,0.09635651912074676,0.06811409110259685,0.1646090534979424,1.7681042763764707
0.01,50,mini-batch,"[16, 8]",tanh,0.5877192982456141,0.23986214694179298,0.2581897513103602,0.24559313292071913,1.010189812584079,0.57875,0.24481895430134223,0.265305144062515,0.2503721670388337,0.9826251735910612
0.01,100,sgd,"[16, 8]",tanh,0.618421052631579,0.28976243685546016,0.3021102497846684,0.29314544650751545,0.9932757350299651,0.6875,0.33734053610883447,0.3481028775146422,0.33876665126665123,0.7738871740197498
0.01,100,gd,"[16, 8]",tanh,0.45614035087719296,0.10441767068273093,0.07602339181286549,0.16666666666666666,1.3631651055269005,0.405,0.09608540925266905,0.0675,0.16666666666666666,1.407169093323325
0.01,100,mini-batch,"[16, 8]",tanh,0.618421052631579,0.2772833176321489,0.2830306267806268,0.27894636015325674,0.9890056107230696,0.61625,0.29287582074618873,0.29366739114820956,0.2950872881428437,0.9225089891662936
0.01,50,sgd,"[8, 8, 4]",tanh,0.6271929824561403,0.3070580614868515,0.29403271848924023,0.3245969643383437,0.9185465895781382,0.6325,0.3176675268721459,0.30339798388332256,0.3403467570134237,0.8805999503853337
0.01,50,gd,"[8, 8, 4]",tanh,0.3815789473684211,0.09294871794871795,0.06444444444444444,0.16666666666666666,1.7236670262258555,0.4125,0.10082902914729151,0.08166727250696716,0.16626722876722877,1.6477418613591182
0.01,50,mini-batch,"[8, 8, 4]",tanh,0.39473684210526316,0.13129228299506937,0.13320411963668147,0.1661508989095196,1.1806315268066787,0.41875,0.14055570866634928,0.14017738117909515,0.16871037704371036,1.182854198178763
0.01,100,sgd,"[8, 8, 4]",tanh,0.6271929824561403,0.3070580614868515,0.29403271848924023,0.3245969643383437,0.9185465895781382,0.6325,0.3176675268721459,0.30339798388332256,0.3403467570134237,0.8805999503853337
0.01,100,gd,"[8, 8, 4]",tanh,0.3815789473684211,0.09294871794871795,0.06444444444444444,0.16666666666666666,1.4758124209047985,0.41125,0.09774212715389186,0.06949725390790029,0.16466466466466467,1.4228265962619242
0.01,100,mini-batch,"[8, 8, 4]",tanh,0.42543859649122806,0.14710733214840435,0.14810682893847193,0.17705570291777187,1.1605104754362925,0.445,0.1536362119350332,0.15501333263544184,0.1794850405961517,1.1646512784415586
0.01,50,sgd,"[16, 8, 16]",tanh,0.6228070175438597,0.27297487857398267,0.2912425784563189,0.2732928087238432,0.9765080307295089,0.67125,0.3551684145155243,0.4167336829461162,0.35106367050811493,0.8128193214215363
0.01,50,gd,"[16, 8, 16]",tanh,0.36403508771929827,0.0913091309130913,0.0640432098765432,0.1590038314176245,1.4313572785646478,0.39125,0.09958606950181853,0.07631821418101102,0.15886078386078387,1.3788355859371426
0.01,50,mini-batch,"[16, 8, 16]",tanh,0.5350877192982456,0.23315466876341284,0.24383037886687522,0.2362312113174182,1.062113695503227,0.55125,0.2602349390192858,0.26880696919744557,0.2614858448191782,1.0172819896722283
0.01,100,sgd,"[16, 8, 16]",tanh,0.6228070175438597,0.27297487857398267,0.2912425784563189,0.2732928087238432,0.9765080307295089,0.67125,0.3551684145155243,0.4167336829461162,0.35106367050811493,0.8128193214215363
0.01,100,gd,"[16, 8, 16]",tanh,0.40789473684210525,0.14296362552176506,0.1508659469185785,0.16970601237842617,1.2465878968329733,0.45875,0.1595336539314677,0.19885210553018776,0.18599529016195682,1.2292596347466722
0.01,100,mini-batch,"[16, 8, 16]",tanh,0.5614035087719298,0.25509017532498196,0.26790780141843973,0.25404214559386973,1.008443817030511,0.59,0.2925598991172762,0.2971357114513742,0.292305125638459,0.9474009039926918
0.05,50,sgd,"[8, 10]",tanh,0.6008771929824561,0.261865968945615,0.30155709824913574,0.26084217506631296,0.9676094871929048,0.6425,0.300977303732979,0.31293580971000323,0.300448953226731,0.8371540042022744
0.05,50,gd,"[8, 10]",tanh,0.5877192982456141,0.21637399589015505,0.20548299319727892,0.2338454170350722,1.2121330506630357,0.5575,0.22384856034594316,0.2239138847941697,0.23847672458783567,1.1215247594069815
0.05,50,mini-batch,"[8, 10]",tanh,0.6096491228070176,0.28645856925004903,0.2871384508859724,0.2887415266725612,0.9802559392156652,0.64125,0.33882022228311676,0.4787435642284179,0.33198048475826253,0.8647182032344142
0.05,100,sgd,"[8, 10]",tanh,0.6008771929824561,0.261865968945615,0.30155709824913574,0.26084217506631296,0.9676094871929048,0.6425,0.300977303732979,0.31293580971000323,0.300448953226731,0.8371540042022744
0.05,100,gd,"[8, 10]",tanh,0.6140350877192983,0.25985783424077435,0.26793232987923254,0.2630909224874742,1.1089951517032668,0.555,0.2579987474772107,0.2697365378286431,0.25694872222649995,1.0227265581645595
0.05,100,mini-batch,"[8, 10]",tanh,0.6096491228070176,0.28645856925004903,0.2871384508859724,0.2887415266725612,0.9802559392156652,0.64125,0.33882022228311676,0.4787435642284179,0.33198048475826253,0.8647182032344142
0.05,50,sgd,"[16, 8]",tanh,0.5701754385964912,0.2151249495551636,0.21788194444444445,0.2281152372531683,0.955194225464163,0.63375,0.3206242710405591,0.40418654597344944,0.3081077872744539,0.8483717843577824
0.05,50,gd,"[16, 8]",tanh,0.4780701754385965,0.16942368845653774,0.1569767441860465,0.18657898614795165,1.1471740687946412,0.52625,0.19266894035034823,0.17531090290495507,0.21389445000556115,1.154010751826651
0.05,50,mini-batch,"[16, 8]",tanh,0.5789473684210527,0.2506893208432602,0.25446428571428575,0.2547082228116711,0.9755946098950575,0.63,0.30398068099320347,0.30780012670256574,0.3049176313065202,0.8849025488110546
0.05,100,sgd,"[16, 8]",tanh,0.5701754385964912,0.2151249495551636,0.21788194444444445,0.2281152372531683,0.955194225464163,0.63375,0.3206242710405591,0.40418654597344944,0.3081077872744539,0.8483717843577824
0.05,100,gd,"[16, 8]",tanh,0.5614035087719298,0.20100439422473318,0.1859726295210166,0.21953286177424106,1.0741630804759403,0.56,0.20571405544809798,0.18783653644851986,0.22750528306083861,1.073652758632442
0.05,100,mini-batch,"[16, 8]",tanh,0.5789473684210527,0.2506893208432602,0.25446428571428575,0.2547082228116711,0.9755946098950575,0.63,0.30398068099320347,0.30780012670256574,0.3049176313065202,0.8849025488110546
0.05,50,sgd,"[8, 8, 4]",tanh,0.6052631578947368,0.2729512735326689,0.2816286875110405,0.27351237842617154,0.9981934054542436,0.63625,0.3079026249927245,0.30192203094830167,0.31428276567165453,0.8708278064578956
0.05,50,gd,"[8, 8, 4]",tanh,0.3815789473684211,0.09294871794871795,0.06444444444444444,0.16666666666666666,1.2388564101206208,0.4125,0.09786476868327403,0.06953223767383059,0.16516516516516516,1.2283573437510353
0.05,50,mini-batch,"[8, 8, 4]",tanh,0.6052631578947368,0.21709801762114536,0.19953542392566784,0.23806366047745361,0.9510571091217758,0.57875,0.21225367670621412,0.1934021263289556,0.23519352686019354,0.9784610582562749
0.05,100,sgd,"[8, 8, 4]",tanh,0.6052631578947368,0.2729512735326689,0.2816286875110405,0.27351237842617154,0.9981934054542436,0.63625,0.3079026249927245,0.30192203094830167,0.31428276567165453,0.8708278064578956
0.05,100,gd,"[8, 8, 4]",tanh,0.3684210526315789,0.12030075187969924,0.11887026691495965,0.15590922487474212,1.1974124959400834,0.39375,0.12983870967741937,0.12803215756092132,0.15853353353353353,1.1983692841275855
0.05,100,mini-batch,"[8, 8, 4]",tanh,0.6228070175438597,0.2728553676829539,0.2900094696969697,0.2736059534335396,0.9254043747757162,0.64625,0.3074416018463067,0.3166708291836749,0.3075998006553562,0.8749401628492376
0.05,50,sgd,"[16, 8, 16]",tanh,0.5307017543859649,0.20400250703281006,0.27597304255641375,0.22089448865310934,1.0404155912175692,0.58875,0.22805953497804218,0.3829925844901636,0.24358172274838943,0.8728896248771383
0.05,50,gd,"[16, 8, 16]",tanh,0.4868421052631579,0.17167908131595286,0.1577152600170503,0.18947096964338342,1.179719448197035,0.4675,0.17128736256005148,0.1559358547251616,0.18999555110666222,1.1641951846913912
0.05,50,mini-batch,"[16, 8, 16]",tanh,0.618421052631579,0.26737206537853664,0.27045402298850574,0.27137709991158265,0.9808790182278947,0.62375,0.3115920218337708,0.3082096664221665,0.3171173310062199,0.8987685306966572
0.05,100,sgd,"[16, 8, 16]",tanh,0.5307017543859649,0.20400250703281006,0.27597304255641375,0.22089448865310934,1.0404155912175692,0.58875,0.22805953497804218,0.3829925844901636,0.24358172274838943,0.8728896248771383
0.05,100,gd,"[16, 8, 16]",tanh,0.5307017543859649,0.22374818926543064,0.33535920211937037,0.22418729737695253,1.1330788586936982,0.485,0.1819847031837374,0.18924661599139792,0.19966547744325522,1.1019119282107288
