Learning Rate,Epochs,Optimizer,Hidden Layers,Neurons,Activation Function,Validation Accuracy,Validation Hamming Loss,Validation Loss,Validation F1,Validation Precision,Validation Recall,Training Accuracy,Training Hamming Loss,Training Loss,Training F1,Training Precision,Training Recall
0.05,50,mini-batch,2,"[8, 10]",relu,0.65125,0.34875,5.268802006891368,0.05886421448555596,0.3104166666666667,0.034229489046140926,0.65375,0.34624999999999995,5.18126222343198,0.07086521645294439,0.47041355474336566,0.04098865590055725
0.05,100,sgd,2,"[8, 10]",relu,0.648125,0.35187500000000005,5.248821938529906,0.056808445532435733,0.1208592132505176,0.038483209375704305,0.6616071428571428,0.33839285714285716,5.070317663637749,0.10208390085496957,0.5111523506539413,0.06647788275458918
0.05,100,gd,2,"[8, 10]",relu,0.61375,0.38625,5.8652181786741036,0.17714412304619342,0.3869746728501582,0.1440678664260784,0.6164285714285714,0.38357142857142856,5.753368139874134,0.18844067056465352,0.40281909597285703,0.14297951061901648
0.05,100,mini-batch,2,"[8, 10]",relu,0.65125,0.34875,5.268802006891368,0.05886421448555596,0.3104166666666667,0.034229489046140926,0.65375,0.34624999999999995,5.18126222343198,0.07086521645294439,0.47041355474336566,0.04098865590055725
0.05,50,sgd,2,"[16, 8]",relu,0.656875,0.343125,5.207146732993306,0.01672194582642344,0.06944444444444445,0.00951867816091954,0.6608928571428572,0.33910714285714283,5.067982614547848,0.04445846934219977,0.5033333333333333,0.024105085335300352
0.05,50,gd,2,"[16, 8]",relu,0.61,0.39,6.216352953820692,0.19263746454273267,0.33677209658808094,0.18125477618810915,0.5996428571428571,0.40035714285714286,6.299725016453016,0.19414723834212688,0.31309731028639115,0.1750778239303336
0.05,50,mini-batch,2,"[16, 8]",relu,0.664375,0.33562499999999995,5.190917622765116,0.03990283123284789,0.4666666666666666,0.021040328487716926,0.6546428571428572,0.3453571428571428,5.134227975540375,0.047637041361209824,0.41276799708911777,0.026224230545735444
0.05,100,sgd,2,"[16, 8]",relu,0.656875,0.343125,5.207146732993306,0.01672194582642344,0.06944444444444445,0.00951867816091954,0.6608928571428572,0.33910714285714283,5.067982614547848,0.04445846934219977,0.5033333333333333,0.024105085335300352
0.05,100,gd,2,"[16, 8]",relu,0.61,0.39,6.216352953820692,0.19263746454273267,0.33677209658808094,0.18125477618810915,0.5996428571428571,0.40035714285714286,6.299725016453016,0.19414723834212688,0.31309731028639115,0.1750778239303336
0.05,100,mini-batch,2,"[16, 8]",relu,0.664375,0.33562499999999995,5.190917622765116,0.03990283123284789,0.4666666666666666,0.021040328487716926,0.6546428571428572,0.3453571428571428,5.134227975540375,0.047637041361209824,0.41276799708911777,0.026224230545735444
