Learning Rate,Optimizer,Hidden Layers,Neurons,Activation Function,Training MSE,Training RMSE,Training R2,Validation MSE,Validation RMSE,Validation R2
0.01,mini-batch,2,"[16, 8]",sigmoid,0.4153936295566878,0.6445103797121408,0.6003858445341723,0.2748445784070196,0.5242562144667621,0.6874502283135939
0.01,sgd,3,"[16, 8, 16]",sigmoid,0.15840062137241667,0.39799575547035254,0.8476165111088629,0.15064860352780846,0.3881347749529903,0.8286843171133483
0.01,gd,3,"[16, 8, 16]",sigmoid,1.0413630569833565,1.0204719775590883,-0.0018050084057117388,0.8844074901485117,0.9404294179514546,-0.005736990432134714
0.01,mini-batch,3,"[16, 8, 16]",sigmoid,1.0223278487348788,1.0111022939024907,0.016507113223234837,0.8670122391113289,0.9311349199290772,0.01404466861171827
0.01,sgd,3,"[16, 32, 16]",sigmoid,0.1669151413881188,0.4085524952660537,0.839425430449049,0.13828681534758294,0.37186935252529607,0.8427419859811819
0.01,gd,3,"[16, 32, 16]",sigmoid,1.0406242529211371,1.0201099219795566,-0.0010942691445110508,0.880563106275526,0.9383832406194849,-0.0013652058084732133
0.01,mini-batch,3,"[16, 32, 16]",sigmoid,1.0173756989579912,1.0086504344707294,0.021271146684564424,0.85120209756922,0.9226061443374524,0.03202376122455508
0.05,sgd,1,[20],sigmoid,0.1277444157674024,0.3574135080930803,0.877108185609766,0.13439981977415816,0.3666058097932412,0.8471622280906
0.05,gd,1,[20],sigmoid,0.29946976786518337,0.5472383099392653,0.7119061298539695,0.18103476132014493,0.425481799046851,0.7941295635305528
0.05,mini-batch,1,[20],sigmoid,0.27550282414284427,0.5248836291434934,0.7349626461152342,0.1809620281958086,0.42539631897303554,0.7942122747178614
0.05,sgd,2,"[13, 6]",sigmoid,0.14454094879023466,0.38018541369999276,0.8609496991018332,0.122400508807473,0.3498578408546434,0.8608076924645695
0.05,gd,2,"[13, 6]",sigmoid,0.5710189660650052,0.7556579689681074,0.4506722163203106,0.3573876460954139,0.5978190747169363,0.5935832977383888
0.05,mini-batch,2,"[13, 6]",sigmoid,0.27723366480847683,0.5265298327810846,0.7332975545451472,0.1776139543892081,0.4214427059390257,0.7980196618233568
0.05,sgd,2,"[16, 8]",sigmoid,0.1227169245872465,0.35030975519851926,0.8819446984956617,0.11110128144415968,0.3333185885067913,0.873657030636365
0.05,gd,2,"[16, 8]",sigmoid,0.8625693728413191,0.9287461293816083,0.17019687608947143,0.6955424335564186,0.8339918666008792,0.2090379585937152
0.05,mini-batch,2,"[16, 8]",sigmoid,0.275821103986472,0.5251867324928078,0.7346564567038827,0.21999433166251778,0.46903553347536237,0.7498252338396234
0.05,sgd,3,"[16, 8, 16]",sigmoid,0.12113408669331244,0.348043225323109,0.8834674094455114,0.1816108793415328,0.426158279682013,0.7934744094172979
0.05,gd,3,"[16, 8, 16]",sigmoid,1.0403715909657172,1.0199860739077358,-0.0008512050078721689,0.8862733012129926,0.941420894824941,-0.007858767130781708
